Timestamp, Valid Period, Tampines forecast, Time Data Fetched
2024-11-15T20:07:30+08:00,8.00 pm to 10.00 pm,Cloudy,15-11-2024 20:10:27
2024-11-15T22:37:29+08:00,10.30 pm to 12.30 am,Cloudy,15-11-2024 22:42:39
2024-11-15T23:12:35+08:00,11.00 pm to 1.00 am,Partly Cloudy (Night),15-11-2024 23:12:41
2024-11-16T09:07:44+08:00,9.00 am to 11.00 am,Partly Cloudy (Day),16-11-2024 09:36:15
2024-11-16T09:37:27+08:00,9.30 am to 11.30 am,Partly Cloudy (Day),16-11-2024 09:46:16
2024-11-16T10:07:29+08:00,10.00 am to Midday,Partly Cloudy (Day),16-11-2024 10:16:29
2024-11-16T10:37:29+08:00,10.30 am to 12.30 pm,Partly Cloudy (Day),16-11-2024 10:46:36
2024-11-16T11:07:28+08:00,11.00 am to 1.00 pm,Partly Cloudy (Day),16-11-2024 11:16:56
2024-11-16T11:22:33+08:00,11.00 am to 1.00 pm,Partly Cloudy (Day),16-11-2024 11:26:56
2024-11-16T11:42:29+08:00,11.30 am to 1.30 pm,Showers,16-11-2024 11:47:03
2024-11-16T12:07:27+08:00,Midnight to 2.00 am,Showers,16-11-2024 12:17:13
2024-11-16T12:22:33+08:00,Midnight to 2.00 am,Showers,16-11-2024 12:27:20
2024-11-16T12:27:31+08:00,Midnight to 2.00 am,Showers,16-11-2024 12:37:26
2024-11-16T12:37:37+08:00,12.30 am to 2.30 am,Showers,16-11-2024 12:47:27
2024-11-17T16:47:30+08:00,4.30 pm to 6.30 pm,Cloudy,17-11-2024 17:00:51
2024-11-17T17:07:39+08:00,5.00 pm to 7.00 pm,Cloudy,17-11-2024 17:10:51
2024-11-17T17:27:29+08:00,5.00 pm to 7.00 pm,Cloudy,17-11-2024 17:30:52
2024-11-17T17:37:40+08:00,5.30 pm to 7.30 pm,Cloudy,17-11-2024 17:40:58
2024-11-17T17:42:46+08:00,5.30 pm to 7.30 pm,Cloudy,17-11-2024 17:50:59
2024-11-17T17:57:35+08:00,5.30 pm to 7.30 pm,Showers,17-11-2024 18:01:05
2024-11-17T18:07:36+08:00,6.00 pm to 8.00 pm,Showers,17-11-2024 18:11:12
2024-11-17T18:27:29+08:00,6.00 pm to 8.00 pm,Cloudy,17-11-2024 18:31:13
2024-11-17T18:37:31+08:00,6.30 pm to 8.30 pm,Cloudy,17-11-2024 18:41:13
2024-11-17T18:52:38+08:00,6.30 pm to 8.30 pm,Cloudy,17-11-2024 19:01:14
2024-11-17T19:07:29+08:00,7.00 pm to 9.00 pm,Cloudy,17-11-2024 19:11:21
2024-11-17T19:27:38+08:00,7.00 pm to 9.00 pm,Cloudy,17-11-2024 19:31:28
2024-11-17T20:37:38+08:00,8.30 pm to 10.30 pm,Cloudy,17-11-2024 20:54:52
2024-11-17T20:57:28+08:00,8.30 pm to 10.30 pm,Light Rain,17-11-2024 21:04:53
2024-11-17T21:07:30+08:00,9.00 pm to 11.00 pm,Light Rain,17-11-2024 21:14:53
2024-11-17T21:37:29+08:00,9.30 pm to 11.30 pm,Light Rain,17-11-2024 21:44:55
2024-11-17T22:07:33+08:00,10.00 pm to Midnight,Light Rain,17-11-2024 22:14:56
2024-11-17T23:12:28+08:00,11.00 pm to 1.00 am,Cloudy,17-11-2024 23:36:54
2024-11-17T23:37:28+08:00,11.30 pm to 1.30 am,Cloudy,17-11-2024 23:47:00
2024-11-17T23:52:34+08:00,11.30 pm to 1.30 am,Cloudy,17-11-2024 23:57:07
2024-11-18T00:07:40+08:00,Midnight to 2.00 am,Cloudy,18-11-2024 00:17:20
2024-11-18T00:37:36+08:00,12.30 am to 2.30 am,Cloudy,18-11-2024 00:52:37
2024-11-18T01:07:32+08:00,1.00 am to 3.00 am,Cloudy,18-11-2024 01:17:52
2024-11-18T01:37:36+08:00,1.30 am to 3.30 am,Cloudy,18-11-2024 01:44:23
2024-11-18T10:37:48+08:00,10.30 am to 12.30 pm,Cloudy,18-11-2024 10:43:48
2024-11-18T11:07:29+08:00,11.00 am to 1.00 pm,Cloudy,18-11-2024 11:13:56
2024-11-18T11:37:30+08:00,11.30 am to 1.30 pm,Cloudy,18-11-2024 11:44:01
2024-11-18T12:07:29+08:00,Midnight to 2.00 am,Cloudy,18-11-2024 12:08:37
2024-11-18T12:37:29+08:00,12.30 am to 2.30 am,Cloudy,18-11-2024 12:38:44
2024-11-18T12:47:30+08:00,12.30 am to 2.30 am,Cloudy,18-11-2024 12:48:45
2024-11-18T13:07:39+08:00,1.00 pm to 3.00 pm,Cloudy,18-11-2024 13:08:49
2024-11-18T13:37:35+08:00,1.30 pm to 3.30 pm,Cloudy,18-11-2024 13:38:58
2024-11-18T16:32:43+08:00,4.00 pm to 6.00 pm,Light Showers,18-11-2024 17:43:29
2024-11-18T17:45:49+08:00,4.30 pm to 6.30 pm,Light Showers,18-11-2024 17:54:17
2024-11-18T18:05:45+08:00,6.00 pm to 8.00 pm,Light Showers,18-11-2024 18:14:18
2024-11-18T18:35:42+08:00,6.30 pm to 8.30 pm,Light Showers,18-11-2024 18:38:41
2024-11-18T18:55:38+08:00,6.30 pm to 8.30 pm,Light Rain,18-11-2024 18:58:42
2024-11-18T19:05:40+08:00,7.00 pm to 9.00 pm,Light Rain,18-11-2024 19:08:42
2024-11-18T19:35:40+08:00,7.30 pm to 9.30 pm,Light Rain,18-11-2024 19:38:43
2024-11-18T20:05:38+08:00,8.00 pm to 10.00 pm,Light Rain,18-11-2024 20:08:44
2024-11-18T20:35:38+08:00,8.30 pm to 10.30 pm,Light Rain,18-11-2024 20:38:45
2024-11-18T23:05:38+08:00,11.00 pm to 1.00 am,Cloudy,18-11-2024 23:24:16
2024-11-19T00:05:38+08:00,Midnight to 2.00 am,Cloudy,19-11-2024 00:08:13
2024-11-19T00:35:38+08:00,12.30 am to 2.30 am,Cloudy,19-11-2024 00:38:14
2024-11-19T05:35:40+08:00,5.30 am to 7.30 am,Showers,19-11-2024 05:42:01
2024-11-19T14:05:41+08:00,2.00 pm to 4.00 pm,Light Showers,19-11-2024 14:25:53
2024-11-19T14:35:38+08:00,2.30 pm to 4.30 pm,Light Showers,19-11-2024 14:35:54
2024-11-19T17:05:40+08:00,5.00 pm to 7.00 pm,Showers,19-11-2024 17:21:44
2024-11-19T17:35:41+08:00,5.30 pm to 7.30 pm,Showers,19-11-2024 17:41:45
2024-11-19T18:10:48+08:00,6.00 pm to 8.00 pm,Cloudy,19-11-2024 18:31:37
2024-11-19T18:35:45+08:00,6.30 pm to 8.30 pm,Cloudy,19-11-2024 18:41:37
2024-11-19T19:05:42+08:00,7.00 pm to 9.00 pm,Cloudy,19-11-2024 19:11:39
2024-11-19T19:40:42+08:00,7.30 pm to 9.30 pm,Cloudy,19-11-2024 19:41:40
2024-11-19T20:05:39+08:00,8.00 pm to 10.00 pm,Cloudy,19-11-2024 20:11:41
2024-11-19T20:35:38+08:00,8.30 pm to 10.30 pm,Cloudy,19-11-2024 20:47:06
2024-11-19T21:05:38+08:00,9.00 pm to 11.00 pm,Cloudy,19-11-2024 21:22:07
2024-11-19T21:35:39+08:00,9.30 pm to 11.30 pm,Cloudy,19-11-2024 21:45:48
2024-11-19T22:05:45+08:00,10.00 pm to Midnight,Cloudy,19-11-2024 22:12:26
2024-11-19T22:35:42+08:00,10.30 pm to 12.30 am,Cloudy,19-11-2024 22:37:27
2024-11-20T06:05:42+08:00,6.00 am to 8.00 am,Cloudy,20-11-2024 06:10:15
2024-11-20T18:05:40+08:00,6.00 pm to 8.00 pm,Partly Cloudy (Night),20-11-2024 19:01:24
2024-11-20T19:24:26+08:00,7.00 pm to 9.00 pm,Partly Cloudy (Night),20-11-2024 19:31:32
2024-11-20T19:35:48+08:00,7.30 pm to 9.30 pm,Partly Cloudy (Night),20-11-2024 19:41:38
2024-11-20T20:05:46+08:00,8.00 pm to 10.00 pm,Partly Cloudy (Night),20-11-2024 20:11:39
2024-11-20T20:35:44+08:00,8.30 pm to 10.30 pm,Partly Cloudy (Night),20-11-2024 20:41:53
2024-11-20T21:05:43+08:00,9.00 pm to 11.00 pm,Partly Cloudy (Night),20-11-2024 21:12:00
2024-11-20T21:35:41+08:00,9.30 pm to 11.30 pm,Partly Cloudy (Night),20-11-2024 21:42:14
2024-11-20T22:05:38+08:00,10.00 pm to Midnight,Partly Cloudy (Night),20-11-2024 22:12:21
2024-11-20T22:35:38+08:00,10.30 pm to 12.30 am,Partly Cloudy (Night),20-11-2024 22:42:41
2024-11-21T00:05:45+08:00,Midnight to 2.00 am,Partly Cloudy (Night),21-11-2024 00:18:58
2024-11-21T00:35:41+08:00,12.30 am to 2.30 am,Partly Cloudy (Night),21-11-2024 00:38:59
2024-11-21T01:05:39+08:00,1.00 am to 3.00 am,Partly Cloudy (Night),21-11-2024 01:09:06
2024-11-21T01:35:38+08:00,1.30 am to 3.30 am,Partly Cloudy (Night),21-11-2024 01:39:13
2024-11-22T16:35:46+08:00,4.30 pm to 6.30 pm,Showers,22-11-2024 16:35:58
2024-11-22T16:50:52+08:00,4.30 pm to 6.30 pm,Showers,22-11-2024 16:56:06
2024-11-22T17:05:41+08:00,5.00 pm to 7.00 pm,Showers,22-11-2024 17:06:06
2024-11-22T17:35:41+08:00,5.30 pm to 7.30 pm,Light Rain,22-11-2024 17:36:08
2024-11-22T17:55:51+08:00,5.30 pm to 7.30 pm,Light Rain,22-11-2024 17:56:09
2024-11-22T18:05:53+08:00,6.00 pm to 8.00 pm,Light Rain,22-11-2024 18:06:09
2024-11-22T18:25:44+08:00,6.00 pm to 8.00 pm,Moderate Rain,22-11-2024 18:26:10
2024-11-22T18:35:46+08:00,6.30 pm to 8.30 pm,Moderate Rain,22-11-2024 18:36:11
2024-11-22T18:45:48+08:00,6.30 pm to 8.30 pm,Moderate Rain,22-11-2024 18:46:11
2024-11-22T22:35:39+08:00,10.30 pm to 12.30 am,Moderate Rain,22-11-2024 23:04:53
2024-11-23T06:35:38+08:00,6.30 am to 8.30 am,Cloudy,23-11-2024 06:37:10
2024-11-23T11:05:48+08:00,11.00 am to 1.00 pm,Partly Cloudy (Day),23-11-2024 11:09:26
2024-11-23T11:35:47+08:00,11.30 am to 1.30 pm,Partly Cloudy (Day),23-11-2024 11:39:27
2024-11-27T14:05:36+08:00,2.00 pm to 4.00 pm,Showers,27-11-2024 14:32:04
2024-11-27T14:35:39+08:00,2.30 pm to 4.30 pm,Showers,27-11-2024 14:42:04
2024-11-27T15:05:42+08:00,2.30 pm to 4.30 pm,Thundery Showers,27-11-2024 15:14:06
2024-11-27T15:30:39+08:00,3.00 pm to 5.00 pm,Thundery Showers,27-11-2024 15:34:07
2024-11-27T15:40:38+08:00,3.30 pm to 5.30 pm,Thundery Showers,27-11-2024 15:44:07
2024-11-27T15:55:41+08:00,3.30 pm to 5.30 pm,Thundery Showers,27-11-2024 16:04:08
2024-11-27T16:05:44+08:00,4.00 pm to 6.00 pm,Thundery Showers,27-11-2024 16:14:08
2024-11-27T16:40:41+08:00,4.30 pm to 6.30 pm,Moderate Rain,27-11-2024 16:44:09
2024-11-27T17:05:34+08:00,5.00 pm to 7.00 pm,Moderate Rain,27-11-2024 17:14:11
2024-11-27T17:35:31+08:00,5.30 pm to 7.30 pm,Moderate Rain,27-11-2024 17:44:12
2024-11-27T19:35:33+08:00,7.30 pm to 9.30 pm,Light Rain,27-11-2024 19:58:47
2024-11-27T20:05:32+08:00,8.00 pm to 10.00 pm,Cloudy,27-11-2024 20:08:47
2024-11-27T20:35:31+08:00,8.30 pm to 10.30 pm,Cloudy,27-11-2024 20:38:49
2024-11-27T21:05:32+08:00,9.00 pm to 11.00 pm,Cloudy,27-11-2024 21:08:50
2024-11-27T21:35:39+08:00,9.30 pm to 11.30 pm,Cloudy,27-11-2024 21:38:51
2024-11-27T22:05:37+08:00,10.00 pm to Midnight,Cloudy,27-11-2024 22:08:52
2024-11-27T22:35:35+08:00,10.30 pm to 12.30 am,Cloudy,27-11-2024 22:38:53
2024-11-27T23:05:32+08:00,11.00 pm to 1.00 am,Cloudy,27-11-2024 23:08:54
2024-11-28T03:35:32+08:00,3.30 am to 5.30 am,Light Rain,28-11-2024 03:45:51
2024-11-28T11:05:33+08:00,11.00 am to 1.00 pm,Cloudy,28-11-2024 11:34:46
2024-11-28T11:40:34+08:00,11.30 am to 1.30 pm,Cloudy,28-11-2024 11:44:47
2024-11-28T11:50:39+08:00,11.30 am to 1.30 pm,Cloudy,28-11-2024 11:54:47
2024-11-28T12:05:44+08:00,Midnight to 2.00 am,Cloudy,28-11-2024 12:14:49
2024-11-28T12:35:32+08:00,12.30 am to 2.30 am,Cloudy,28-11-2024 12:44:51
2024-11-29T15:50:38+08:00,3.30 pm to 5.30 pm,Cloudy,29-11-2024 16:04:42
2024-11-29T16:05:42+08:00,4.00 pm to 6.00 pm,Cloudy,29-11-2024 16:14:42
2024-11-29T16:15:32+08:00,4.00 pm to 6.00 pm,Cloudy,29-11-2024 16:24:42
2024-11-29T16:30:44+08:00,4.00 pm to 6.00 pm,Cloudy,29-11-2024 16:34:43
2024-11-29T16:40:39+08:00,4.30 pm to 6.30 pm,Cloudy,29-11-2024 16:44:44
2024-11-29T17:05:32+08:00,5.00 pm to 7.00 pm,Cloudy,29-11-2024 17:14:45
2024-11-29T17:35:32+08:00,5.30 pm to 7.30 pm,Cloudy,29-11-2024 17:44:46
2024-11-29T18:05:32+08:00,6.00 pm to 8.00 pm,Cloudy,29-11-2024 18:14:47
2024-11-29T18:20:43+08:00,6.00 pm to 8.00 pm,Light Rain,29-11-2024 18:24:47
2024-11-29T18:35:32+08:00,6.30 pm to 8.30 pm,Light Rain,29-11-2024 18:44:48
2024-11-29T18:50:38+08:00,6.30 pm to 8.30 pm,Light Rain,29-11-2024 18:54:49
2024-11-29T19:10:40+08:00,7.00 pm to 9.00 pm,Light Rain,29-11-2024 19:14:49
2024-11-29T19:25:32+08:00,7.00 pm to 9.00 pm,Light Rain,29-11-2024 19:34:50
